Name,Date,Rank,Gross,Percentage Change,Theaters,Per Theater,Total Gross,Days
The Expendables 2,24/08/2012,1.00,13423579.00,-0.53,3355.00,4001.00,52237523.00,10.00
The Expendables 2,31/08/2012,3.00,9030381.00,-0.33,3334.00,2709.00,66389286.00,17.00
The Expendables 2,7/09/2012,3.00,4951899.00,-0.45,3260.00,1519.00,75619038.00,24.00
The Expendables 2,14/09/2012,5.00,3146001.00,-0.36,2896.00,1086.00,80405980.00,31.00
The Expendables 2,21/09/2012,13.00,1457853.00,-0.54,1820.00,801.00,83019805.00,38.00
The Expendables 2,28/09/2012,20.00,524199.00,-0.64,815.00,643.00,84025347.00,45.00
The Expendables 2,5/10/2012,29.00,167624.00,-0.68,313.00,536.00,84370358.00,52.00
The Expendables 2,12/10/2012,37.00,65968.00,-0.61,146.00,452.00,84501958.00,59.00
The Expendables 2,19/10/2012,44.00,45091.00,-0.32,92.00,490.00,84573293.00,66.00
The Expendables 2,26/10/2012,32.00,112946.00,1.50,178.00,635.00,84705404.00,73.00
The Expendables 2,2/11/2012,33.00,102612.00,-0.09,173.00,593.00,84855313.00,80.00
The Expendables 2,9/11/2012,36.00,63350.00,-0.38,134.00,473.00,84956224.00,87.00
The Expendables 2,16/11/2012,45.00,35365.00,-0.44,95.00,372.00,85017401.00,94.00
The Last Stand,18/01/2013,9.00,6281433.00,,2913.00,2156.00,6281433.00,3.00
The Last Stand,25/01/2013,16.00,2150562.00,-0.66,2913.00,738.00,10684507.00,10.00
The Last Stand,1/02/2013,29.00,270812.00,-0.87,689.00,393.00,11704454.00,17.00
The Last Stand,8/02/2013,41.00,93427.00,-0.66,239.00,391.00,11904835.00,24.00
The Last Stand,15/02/2013,56.00,25837.00,-0.72,54.00,478.00,11959647.00,31.00
The Last Stand,22/02/2013,43.00,55665.00,1.15,114.00,488.00,12026670.00,38.00
Generation Iron,20/09/2013,29.00,245000.00,,53.00,4623.00,245000.00,3.00
Generation Iron,27/09/2013,34.00,138125.00,-0.44,84.00,1644.00,395125.00,10.00
Generation Iron,4/10/2013,34.00,133750.00,-0.03,70.00,1911.00,540750.00,17.00
Generation Iron,11/10/2013,41.00,75770.00,-0.43,34.00,2229.00,631365.00,24.00
Generation Iron,18/10/2013,45.00,55230.00,-0.27,33.00,1674.00,696715.00,31.00
Generation Iron,25/10/2013,47.00,27215.00,-0.51,25.00,1089.00,731162.00,38.00
Generation Iron,1/11/2013,42.00,23654.00,-0.13,8.00,2957.00,759798.00,45.00
Generation Iron,8/11/2013,52.00,17447.00,-0.26,8.00,2181.00,780530.00,52.00
Generation Iron,15/11/2013,51.00,14556.00,-0.17,3.00,4852.00,800166.00,59.00
Generation Iron,22/11/2013,51.00,12775.00,-0.12,2.00,6388.00,816696.00,66.00
Generation Iron,29/11/2013,56.00,5100.00,-0.60,1.00,5100.00,821796.00,73.00
Generation Iron,6/12/2013,42.00,22600.00,3.43,7.00,3229.00,845741.00,80.00
Generation Iron,13/12/2013,52.00,2630.00,-0.88,1.00,2630.00,849521.00,87.00
Escape Plan,18/10/2013,4.00,9885732.00,,2883.00,3429.00,9885732.00,3.00
Escape Plan,25/10/2013,7.00,4558239.00,-0.54,2883.00,1581.00,17641821.00,10.00
Escape Plan,1/11/2013,11.00,2271200.00,-0.50,1966.00,1155.00,21590946.00,17.00
Escape Plan,8/11/2013,13.00,845029.00,-0.63,1049.00,806.00,23207864.00,24.00
Escape Plan,15/11/2013,15.00,549752.00,-0.35,687.00,800.00,24123305.00,31.00
Escape Plan,22/11/2013,23.00,134431.00,-0.76,267.00,503.00,24460013.00,38.00
Escape Plan,29/11/2013,37.00,47761.00,-0.64,141.00,339.00,24555759.00,45.00
Escape Plan,6/12/2013,35.00,37169.00,-0.22,141.00,264.00,24610144.00,52.00
Escape Plan,13/12/2013,29.00,94487.00,1.54,167.00,566.00,24721582.00,59.00
Escape Plan,20/12/2013,28.00,64032.00,-0.32,138.00,464.00,24834082.00,66.00
Escape Plan,27/12/2013,36.00,68757.00,0.07,107.00,643.00,24956838.00,73.00
Escape Plan,3/01/2014,39.00,50093.00,-0.27,84.00,596.00,25063555.00,80.00
Escape Plan,10/01/2014,38.00,38807.00,-0.23,77.00,504.00,25121291.00,87.00
Sabotage,28/03/2014,7.00,5272444.00,,2486.00,2121.00,5272444.00,3.00
Sabotage,4/04/2014,8.00,1999758.00,-0.62,2486.00,804.00,8858343.00,10.00
Sabotage,11/04/2014,18.00,361438.00,-0.82,751.00,481.00,10069569.00,17.00
Sabotage,18/04/2014,35.00,81182.00,-0.78,130.00,624.00,10353443.00,24.00
Sabotage,25/04/2014,46.00,36215.00,-0.55,75.00,483.00,10431768.00,31.00
Sabotage,2/05/2014,53.00,23824.00,-0.34,60.00,397.00,10471688.00,38.00
Sabotage,9/05/2014,58.00,15805.00,-0.34,51.00,310.00,10499968.00,45.00
